nr,kommentar
204,Halten av fria kappakedjor och kvoten fria kappa/lambda-kedjor i serum är kraftigt förhöjda vilket starkt talar för monoklonal produktion av fria kappakedjor.
205,Kvoten fria kappa/lambda-kedjor i serum är sänkt.
206,Kvoten fria kappa/lambda-kedjor i serum är kraftigt sänkt.
207,Halten av fria lambdakedjor är förhöjd och kvoten fria kappa/lambda-kedjor i serum är sänkt vilket talar för monoklonal produktion av fria lambdakedjor.
208,Halten av fria lambdakedjor är kraftigt förhöjd och kvoten fria kappa/lambda-kedjor i serum är kraftigt sänkt vilket starkt talar för monoklonal produktion av fria lambdakedjor.
209,vilket stämmer väl med monoklonal produktion av fria kappakedjor.
210,vilket stämmer väl med monoklonal produktion av fria lambdakedjor.
300,Serum kan tyvärr inte analyseras eftersom serumprov saknas.
800,Urin kan tyvärr inte analyseras eftersom urinprov saknas.
802,Normala proteinhalter i urinen.
803,Ingen signifikant proteinuri.
805,Lätt-måttlig proteinuri.
806,Kraftig proteinuri.
807,Massiv proteinuri.
808,Tubulärt proteinmönster i urinen.
810,Albuminuri.
811,Påtaglig albuminuri.
812,Kraftig albuminuri.
813,Förhöjd halt av protein HC i urinen.
814,Kraftigt förhöjd halt av protein HC i urinen.
815,Förhöjda halter av protein HC och kappakedjor i urinen.
816,Förhöjda halter av protein HC och kappa- och lambdakedjor i urinen.
819,Även förhöjda nivåer av andra proteiner i urinen.
820,Inga mätbara halter av lätta immunglobulinkedjor i urinen.
821,Ej förhöjda halter av lätta immunglobulinkedjor i urinen.
822,Ej förhöjd halt av kappakedjor i urinen.
823,Ej förhöjd halt av lambdakedjor i urinen.
824,Inga hållpunkter för Bence-Jones proteinuri.
825,Ingen Bence-Jones proteinuri (immunfixation utförd).
826,Lätt förhöjd halt av kappakedjor i urinen.
827,Lätt förhöjd halt av lambdakedjor i urinen.
828,Förhöjd halt av kappakedjor i urinen.
829,Förhöjd halt av lambdakedjor i urinen.
830,Kvoten U-Kappa/U-Lambda kan ej bestämmas. Bence-Jones proteinuri av låg halt kan ej uteslutas.
831,Kvoten U-Kappa/U-Lambda är normal vilket talar emot förekomst av Bence-Jones proteinuri.
832,Kvoten U-Kappa/U-Lambda är normal.
833,Kvoten U-Kappa/U-Lambda är långt utanför normalområdet vilket inger stark misstanke om monoklonal immunglobulinproduktion. Komplettera med samtidig analys av S- och U-Proteinprofil. Även analysen S-Fria lätta Ig-kedjor (FLC) kan vara av värde.
840,Bence-Jones proteinuri av typ kappa.
841,Bence-Jones proteinuri av typ lambda.
845,Utsöndring av X g kappakedjor/mol kreatinin.
846,Utsöndring av X g lambdakedjor/mol kreatinin.
901,Normala proteinhalter i urinen. Inga hållpunkter för Bence-Jones proteinuri.
